open_price,high_price,low_price,noof_shares,close_price,predicted_close_price
7108.35,7124.0,7070.1,1261,7089.15,
7780.0,7860.0,7660.0,1095,7825.3,
10559.25,10562.95,10446.3,1295,10484.55,
11508.4,11602.8,11302.65,1001,11480.45,
17440.85,17600.0,17274.9,1999,17310.4,
10965.0,10965.0,10485.15,7196,10572.9,
10539.0,10565.5,10229.2,3066,10341.5,
4849.15,4859.95,4795.0,2269,4824.8,
6129.0,6153.4,5939.0,3767,5969.8,
6700.0,6919.45,6687.65,6599,6762.15,
4600.05,4644.45,4580.0,7062,4587.25,
10706.7,11080.0,10598.95,7445,10853.0,
19076.9,19100.0,18861.45,767,18997.35,
6256.95,6263.7,6150.0,133087,6202.65,
16274.95,16360.0,16090.7,4590,16288.2,
4467.0,4520.0,4450.0,913,4452.65,
5371.2,5568.0,5371.2,7396,5564.7,
4972.0,4972.0,4910.0,1159,4924.1,
4670.0,4705.95,4630.0,1428,4654.95,
11252.45,11332.45,11201.85,1254,11286.85,
11340.0,11470.05,11340.0,2263,11430.55,
5008.45,5040.0,4970.0,1049,5031.75,
17199.95,17295.4,16937.9,17513,17119.95,
6835.0,6969.0,6758.0,2719,6808.4,
15717.45,15854.9,15569.3,1392,15670.8,
5920.0,5920.0,5800.0,1028,5897.9,
6732.75,6744.0,6569.15,2089,6632.3,
11350.0,11362.05,11043.0,13836,11107.25,
6543.0,6705.0,6480.1,2470,6503.9,
17600.0,17651.3,17440.0,1036,17501.5,
7230.5,7436.4,7220.65,2448,7370.15,
18799.0,19273.8,18637.7,2139,19214.1,
16394.7,16394.7,16102.0,18735,16114.35,
14652.2,14902.5,14620.0,1453,14867.2,
6874.95,6875.0,6810.0,1393,6847.5,
4810.0,4816.65,4778.75,1578,4792.8,
16900.0,16930.0,16660.0,1759,16899.35,
7050.0,7075.25,6775.0,2420,6993.05,
10253.95,10431.35,10210.05,1443,10351.1,
17000.0,17400.0,17000.0,4301,17218.6,
10887.0,10930.6,10797.0,1935,10875.35,
5079.95,5079.95,5010.0,4613,5026.4,
8799.8,9189.95,8799.8,3917,9061.55,
13813.15,13866.0,13700.0,1554,13839.85,
6153.0,6240.0,6124.05,2320,6198.6,
9400.0,9581.0,9250.0,4683,9487.15,
16400.0,16531.05,16024.6,9051,16099.2,
6863.45,6940.0,6840.8,1716,6934.75,
4728.0,4777.0,4718.6,5244,4758.1,
6524.35,6549.95,6440.0,798,6462.2,
9250.0,9609.55,9160.05,14098,9506.6,
16757.0,16893.2,16554.6,2506,16761.45,
5867.8,5923.05,5835.0,1763,5901.9,
5261.15,5378.9,5261.15,6538,5353.15,
6619.0,6619.0,6461.15,17392,6488.35,
6284.0,6344.0,6255.15,5531,6333.3,
19702.0,19742.4,19605.45,634,19677.0,
6735.25,6912.25,6735.25,1857,6829.95,
5054.4,5060.0,5016.4,1163,5036.6,
9103.1,9152.5,9012.35,13137,9092.0,
5412.0,5425.0,5379.3,2814,5407.2,
17200.0,17467.75,17200.0,2757,17444.25,
6035.0,6225.0,6035.0,11581,6162.95,
9667.0,9755.5,9636.4,2382,9734.2,
4955.0,5000.0,4930.1,1550,4983.35,
5000.0,5021.8,4910.9,859,4948.35,
6500.0,6522.0,6401.4,1693,6505.15,
7284.1,7400.0,7284.1,1600,7392.1,
11400.05,11446.65,11175.6,1654,11265.05,
4390.0,4404.0,4325.0,5556,4377.55,
15699.0,15807.5,15389.9,2391,15434.2,
6040.0,6289.9,6019.0,12916,6246.25,
4858.1,4923.6,4852.6,1448,4870.2,
5968.0,6023.0,5941.0,2786,5967.8,
17244.0,17244.0,17019.95,2503,17123.3,
14487.0,14599.0,14240.95,1772,14531.55,
5511.0,5574.9,5421.65,7542,5462.85,
19149.0,19430.0,18987.05,4503,19210.35,
6859.0,6859.0,6803.25,1852,6816.4,
6440.45,6485.0,6200.0,7104,6302.25,
5979.8,5984.0,5886.0,4778,5899.8,
16190.0,16494.8,16158.7,4981,16354.25,
5899.8,5950.0,5829.95,2966,5842.2,
6580.0,6629.0,6445.0,13454,6460.85,
6129.2,6188.0,6085.0,1605,6106.2,
13800.15,13897.7,13600.0,4695,13741.85,
4640.8,4721.0,4640.0,2088,4701.6,
17895.0,18026.4,17723.65,2935,17995.2,
6431.05,6600.0,6430.0,2338,6532.4,
7658.0,7714.9,7580.0,5546,7590.1,
5089.15,5252.4,5039.45,9199,5199.6,
7694.5,7879.0,7694.5,6115,7841.05,
5770.0,6011.0,5650.0,2281,5705.1,
15110.0,15861.3,14755.65,4156,15683.85,
5425.0,5444.25,5375.65,3708,5420.15,
6734.2,6825.0,6675.05,2863,6730.6,
6336.0,6399.0,6280.0,2183,6314.15,
5015.0,5030.0,4962.85,22974,5005.2,
14128.0,14328.7,14063.8,2811,14234.75,
